"Thank You,","Danke,"
"Shipping Amount","Versandkosten"
"Thank you very much!","Vielen Dank!"
"Your new password is: %s","Ihr neues Password lautet: %s"
"Tax Amount","Steuerbetrag"
"Grand Total","Gesamtsumme"
"Magento Products Office","Magento Products Office"
"Discount","Rabatt"
"You can change your password at any time by logging into the ""My Account"" section.","Sie k&ouml;nnen Ihr Passwort jederzeit im Bereich ""Mein Benutzerkonto"" &auml;ndern."
"New Password for %s","Neues Passwort f&uuml;r %s"
"Subtotal","Zwischensumme"
"Dear %s","Sehr geehrte(r) %s"
"My Account","Mein Benutzerkonto"
"Log In","Anmelden"
"Grid","Gitter"
"List","Liste"
"Please enter your email below and we'll send you a new password.","Bitte tragen Sie hier Ihre E-Mail Adresse ein. <br />Wir senden Ihnen dann umgehend ein neues Passwort zu."
"Position","Bewertung"
"Price","Preis"
"Name","Titel"
"firstname","Vorname"

"Search entire store here...","Suche..."
"Special Price:","nur:"
"Regular Price:","statt:"
"%s was added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"Currently Shopping by:","Momentane Filter:"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Nur angemeldete Nutzer k&ouml;nnen Bewertungen abgeben. Bitte <a href=""%s"">melden Sie sich an</a> oder <a href=""%s"">registrieren Sie sich!</a>"
"Featured Products","Unsere Top-Seller"
"Please specify the product's required option(s).","Bitte w&auml;hlen Sie die erforderlichen Optionen."
"Sort By","Sortieren nach:"
"Sign Up for Our Newsletter:","Anmeldung f&uuml;r unseren Newsletter:"
"Click <a href=""%s"">here</a> to continue shopping.","Klicken Sie <a href=""%s"">hier</a>, um Ihren Einkauf fortzusetzen."
"Please enter your email below and we will send you a new password.","Bitte geben Sie Ihre E-Mail Adresse ein und wir senden Ihnen ein neues Passwort."
"Please specify at least one search term.","Bitte geben Sie mindestens einen Suchbegriff ein."
"The product %s has been added to comparison list.","Das Produkt %s ist zur Vergleichsliste aufgenommen worden."
"You're reviewing:","Sie bewerten:"
"Your review has been accepted for moderation.","Ihre Meinung ist f&uuml;r die Moderation &uuml;bernommen."
"%s tag(s) have been accepted for moderation.","%s tag(s) sind f&uuml;r die Moderation &uuml;bernommen."